name,slug,url,number,n,quality,price_median,psf_median,psf_yoy,n_yoy,offplan_share,n_projects,units,building
Expo City Valley Apartments Fzco,expo-city-valley-apartments-fzco,https://datadubai.ae/developers/expo-city-valley-apartments-fzco/,2421,237,ok,2572000.0,1925.22,,,100.0,1,816,1
Tarrad Development L.L.C,tarrad-development-l-l-c,https://datadubai.ae/developers/tarrad-development-l-l-c/,1921,234,ok,680000.0,1471.83,-27.6,766.7,100.0,4,780,4
Ayat Real Estate Development L.L.C,ayat-real-estate-development-l-l-c,https://datadubai.ae/developers/ayat-real-estate-development-l-l-c/,2182,230,ok,532100.0,1379.45,-41.5,521.6,100.0,2,470,2
Beyond 1 Real Estate Development L.L.C,beyond-1-real-estate-development-l-l-c,https://datadubai.ae/developers/beyond-1-real-estate-development-l-l-c/,2324,228,ok,3884000.0,3772.9,,,100.0,1,517,1
Tfg S C Development L.L.C,tfg-s-c-development-l-l-c,https://datadubai.ae/developers/tfg-s-c-development-l-l-c/,2084,226,ok,1015000.0,,,-25.4,100.0,1,513,1
Prestige Luxe Real Estate Development L.L.C,prestige-luxe-real-estate-development-l-l-c,https://datadubai.ae/developers/prestige-luxe-real-estate-development-l-l-c/,2257,225,ok,1200378.0,1830.04,,22400.0,100.0,2,461,2
Imtiaz Ghd Real Estate Development L.L.C,imtiaz-ghd-real-estate-development-l-l-c,https://datadubai.ae/developers/imtiaz-ghd-real-estate-development-l-l-c/,1641,224,ok,2569086.0,2425.08,19.4,-15.2,98.2,6,716,4
B N H Real Estate Developer,b-n-h-real-estate-developer,https://datadubai.ae/developers/b-n-h-real-estate-developer/,1219,220,ok,949956.5,1128.42,-7.9,-57.6,65.0,7,1115,2
Qube Development L.L.C,qube-development-l-l-c,https://datadubai.ae/developers/qube-development-l-l-c/,1692,216,ok,1127980.0,1572.56,0.5,31.7,98.6,3,593,2
Laya Developers L.L.C,laya-developers-l-l-c,https://datadubai.ae/developers/laya-developers-l-l-c/,1138,216,ok,1020729.0,1470.04,2.2,10.8,52.8,4,1088,1
Aurora Spv 1 L.L.C,aurora-spv-1-l-l-c,https://datadubai.ae/developers/aurora-spv-1-l-l-c/,1658,214,ok,3112500.0,1473.87,3.4,-84.5,79.0,5,2275,5
Peninsula Elit Real Estate Development L.L.C S.O.C,peninsula-elit-real-estate-development-l-l-c-s-o-c,https://datadubai.ae/developers/peninsula-elit-real-estate-development-l-l-c-s-o-c/,2551,213,ok,1299000.0,1733.47,,,100.0,1,284,1
Bam Eskan Real Estate Development L.L.C,bam-eskan-real-estate-development-l-l-c,https://datadubai.ae/developers/bam-eskan-real-estate-development-l-l-c/,1776,210,ok,1169980.5,1386.3,-1.7,950.0,100.0,1,399,1
